AmenityCrosswalkValue,EntityCode
Survey|20180508|1|00293|CorporateEvents|1,00293
Survey|20180508|1|00641|CorporateEvents|1,00641
Survey|20180508|1|00454|CorporateEvents|1,00454
Survey|20180508|1|00674|CorporateEvents|1,00674
Survey|20180508|1|00561|CorporateEvents|1,00561
Survey|20180508|1|03080|CorporateEvents|1,03080
Survey|20180508|1|00238|Weddings|1,00238
Survey|20180508|1|00734|Weddings|1,00734
Survey|20180508|1|00118|Weddings|1,00118
Survey|20180508|1|02595|Weddings|1,02595
Survey|20180508|1|00607|Weddings|1,00607
Survey|20180508|1|00522|Weddings|1,00522
Survey|20180508|1|02701|Weddings|1,02701
Survey|20180508|1|03012|Weddings|1,03012
Survey|20180508|1|02771|Weddings|1,02771
Survey|20180508|1|00715|Weddings|1,00715
Survey|20180508|1|00116|Weddings|1,00116
Survey|20180508|1|00685|BusinessServices|1,00685
Survey|20180508|1|00562|BusinessServices|1,00562
Survey|20180508|1|00507|BusinessServices|1,00507
Survey|20180508|1|02595|BusinessServices|1,02595
Survey|20180508|1|00561|BusinessServices|1,00561
Survey|20180508|1|00881|BusinessServices|1,00881
Survey|20180508|1|01099|BusinessServices|1,01099
Survey|20180508|1|02832|BusinessServices|1,02832
Survey|20180508|1|00607|BusinessServices|1,00607
Survey|20180508|1|00734|BusinessServices|1,00734
Survey|20180508|1|00682|BusinessServices|1,00682
Survey|20180508|1|00185|BusinessServices|1,00185
Survey|20180508|1|02175|BusinessServices|1,02175
Survey|20180508|1|03056|BusinessServices|1,03056
Survey|20180508|1|00103|BusinessServices|1,00103
Survey|20180508|1|02820|BusinessServices|1,02820
Survey|20180508|1|02824|BusinessServices|1,02824
Survey|20180508|1|02703|BusinessServices|1,02703
Survey|20180508|1|00199|BusinessServices|1,00199
Survey|20180508|1|01441|BusinessServices|1,01441
Survey|20180508|1|03012|BusinessServices|1,03012
Survey|20180508|1|02756|SteamRoom|1,02756
Survey|20180508|1|00245|SteamRoom|1,00245
Survey|20180508|1|02595|SteamRoom|1,02595
Survey|20180508|1|00106|SteamRoom|1,00106
Survey|20180508|1|02661|SteamRoom|1,02661
Survey|20180508|1|02283|FitnessCenter|1,02283
Survey|20180508|1|00514|FitnessCenter|1,00514
Survey|20180508|1|01162|FitnessCenter|1,01162
Survey|20180508|1|02505|TennisServices|1,02505
Survey|20180508|1|00116|TennisServices|1,00116
Survey|20180508|1|00522|TennisServices|1,00522
Survey|20180508|1|00170|CorporateEvents|1,00170
Survey|20180508|1|00476|Ballroom|1,00476
Survey|20180508|1|00646|Ballroom|1,00646
Survey|20180508|1|03016|Ballroom|1,03016
Survey|20180508|1|00158|Ballroom|1,00158
Survey|20180508|1|00745|Ballroom|1,00745
Survey|20180508|1|00116|Ballroom|1,00116
Survey|20180508|1|02505|Ballroom|1,02505
Survey|20180508|1|01401|Ballroom|1,01401
Survey|20180508|1|02820|Ballroom|1,02820
Survey|20180508|1|01075|Ballroom|1,01075
Survey|20180508|1|00199|DiningRoom|1,00199
Survey|20180508|1|01579|DiningRoom|2,01579
Survey|20180508|1|02504|DiningRoom|1,02504
Survey|20180508|1|03012|DiningRoom|1,03012
Survey|20180508|1|00253|Ballroom|1,00253
Survey|20180508|1|00293|Ballroom|1,00293
Survey|20180508|1|00764|Ballroom|1,00764
Survey|20180508|1|02661|Ballroom|1,02661
Survey|20180508|1|02753|Ballroom|1,02753
Survey|20180508|1|02855|Ballroom|1,02855
Survey|20180508|1|00259|Ballroom|1,00259
Survey|20180508|1|01441|Ballroom|1,01441
Survey|20180508|1|00654|Ballroom|1,00654
Survey|20180508|1|00556|ConferenceRoom|1,00556
Survey|20180508|1|00106|ConferenceRoom|1,00106
Survey|20180508|1|01668|ConferenceRoom|1,01668
Survey|20180508|1|00607|ConferenceRoom|1,00607
Survey|20180508|1|02202|ConferenceRoom|1,02202
Survey|20180508|1|00648|ConferenceRoom|1,00648
Survey|20180508|1|01075|ConferenceRoom|1,01075
Survey|20180508|1|03080|ConferenceRoom|1,03080
Survey|20180508|1|00763|ConferenceRoom|1,00763
Survey|20180508|1|00413|ConferenceRoom|1,00413
Survey|20180508|1|02845|ConferenceRoom|1,02845
Survey|20180508|1|00657|ConferenceRoom|1,00657
Survey|20180508|1|00269|ConferenceRoom|1,00269
Survey|20180508|1|01535|PrivateDiningAndMeetingRooms|1,01535
Survey|20180508|1|03056|TennisCourts|1,03056
Survey|20180508|1|02661|TennisCourts|1,02661
Survey|20180508|1|00100|TennisCourts|1,00100
Survey|20180508|1|01582|TennisCourts|1,01582
Survey|20180508|1|00387|TennisCourts|1,00387
Survey|20180508|1|02779|TennisCourts|1,02779
Survey|20180508|1|00238|TennisCourts|1,00238
Survey|20180508|1|00131|TennisCourts|1,00131
Survey|20180508|1|01588|TennisCourts|1,01588
Survey|20180508|1|02816|TennisCourts|1,02816
Survey|20180508|1|02594|TennisCourts|1,02594
Survey|20180508|1|02505|TennisCourts|1,02505
Survey|20180508|1|00102|TennisCourts|1,00102
Survey|20180508|1|00128|DiningRoom|1,00128
Survey|20180508|1|03012|GolfPracticeFacility|1,03012
Survey|20180508|1|00507|Weddings|1,00507
Survey|20180508|1|02810|Weddings|1,02810
Survey|20180508|1|00561|Weddings|1,00561
Survey|20180508|1|02700|Weddings|1,02700
Survey|20180508|1|01724|Weddings|1,01724
Survey|20180508|1|02997|Weddings|1,02997
Survey|20180508|1|01594|AVEquipment|1,01594
Survey|20180508|1|02703|AVEquipment|1,02703
Survey|20180508|1|00715|AVEquipment|1,00715
Survey|20180508|1|00622|AVEquipment|1,00622
Survey|20180508|1|00476|AVEquipment|1,00476
Survey|20180508|1|00448|SocialEvents|1,00448
Survey|20180508|1|01591|SocialEvents|1,01591
Survey|20180508|1|00157|SocialEvents|1,00157
Survey|20180508|1|02866|Weddings|1,02866
Survey|20180508|1|00100|Weddings|1,00100
Survey|20180508|1|02283|Weddings|1,02283
Survey|20180508|1|00198|Weddings|1,00198
Survey|20180508|1|00195|SocialEvents|1,00195
Survey|20180508|1|02820|SocialEvents|1,02820
Survey|20180508|1|02748|CorporateEvents|1,02748
Survey|20180508|1|02284|CorporateEvents|1,02284
Survey|20180508|1|00913|CorporateEvents|1,00913
Survey|20180508|1|02704|SocialEvents|1,02704
Survey|20180508|1|02901|CorporateEvents|1,02901
Survey|20180508|1|02701|CorporateEvents|1,02701
Survey|20180508|1|00260|Weddings|1,00260
Survey|20180508|1|03110|SocialEvents|1,03110
Survey|20180508|1|01578|TennisCourts|1,01578
Survey|20180508|1|01104|GolfPracticeFacility|1,01104
Survey|20180508|1|00430|AnytimeLounge|1,00430
Survey|20180508|1|02901|SelfParking|1,02901
Survey|20180508|1|01054|SelfParking|1,01054
Survey|20180508|1|02832|SelfParking|1,02832
Survey|20180508|1|00454|SelfParking|1,00454
Survey|20180508|1|00654|SelfParking|1,00654
Survey|20180508|1|00298|CateringServices|1,00298
Survey|20180508|1|00507|CateringServices|1,00507
Survey|20180508|1|00763|CateringServices|1,00763
Survey|20180508|1|01592|CateringServices|1,01592
Survey|20180508|1|01579|CateringServices|1,01579
Survey|20180508|1|02865|CateringServices|1,02865
Survey|20180508|1|00298|GolfServices|1,00298
Survey|20180508|1|00183|Boardroom|1,00183
Survey|20180508|1|01554|Boardroom|1,01554
Survey|20180508|1|00110|Boardroom|1,00110
Survey|20180508|1|00562|Boardroom|1,00562
Survey|20180508|1|00195|Boardroom|1,00195
Survey|20180508|1|00269|Boardroom|1,00269
Survey|20180508|1|01582|Boardroom|1,01582
Survey|20180508|1|02661|Boardroom|1,02661
Survey|20180508|1|03065|Boardroom|1,03065
Survey|20180508|1|00002|Boardroom|1,00002
Survey|20180508|1|02948|Boardroom|1,02948
Survey|20180508|1|00170|Boardroom|1,00170
Survey|20180508|1|00387|Boardroom|1,00387
Survey|20180508|1|00430|Boardroom|1,00430
Survey|20180508|1|00734|Boardroom|1,00734
Survey|20180508|1|02865|Boardroom|1,02865
Survey|20180508|1|00198|Boardroom|1,00198
Survey|20180508|1|01104|Boardroom|1,01104
Survey|20180508|1|00192|Boardroom|1,00192
Survey|20180508|1|01724|Boardroom|1,01724
Survey|20180508|1|02703|Boardroom|1,02703
Survey|20180508|1|01579|PrivateDiningAndMeetingRooms|1,01579
Survey|20180508|1|01588|PrivateDiningAndMeetingRooms|1,01588
Survey|20180508|1|00114|PrivateDiningAndMeetingRooms|1,00114
Survey|20180508|1|00745|PrivateDiningAndMeetingRooms|1,00745
Survey|20180508|1|02889|PrivateDiningAndMeetingRooms|1,02889
Survey|20180508|1|01344|PrivateDiningAndMeetingRooms|1,01344
Survey|20180508|1|00507|PrivateDiningAndMeetingRooms|1,00507
Survey|20180508|1|03083|PrivateDiningAndMeetingRooms|1,03083
Survey|20180508|1|01162|PrivateDiningAndMeetingRooms|1,01162
Survey|20180508|1|00715|PrivateDiningAndMeetingRooms|1,00715
Survey|20180508|1|02777|PrivateDiningAndMeetingRooms|1,02777
Survey|20180508|1|02987|PrivateDiningAndMeetingRooms|1,02987
Survey|20180508|1|03056|PrivateDiningAndMeetingRooms|1,03056
Survey|20180508|1|02997|PrivateDiningAndMeetingRooms|1,02997
Survey|20180508|1|00260|PrivateDiningAndMeetingRooms|1,00260
Survey|20180508|1|02286|PrivateDiningAndMeetingRooms|1,02286
Survey|20180508|1|00116|PrivateDiningAndMeetingRooms|1,00116
Survey|20180508|1|00574|PrivateDiningAndMeetingRooms|1,00574
Survey|20180508|1|01191|PrivateDiningAndMeetingRooms|1,01191
Survey|20180508|1|00646|PrivateDiningAndMeetingRooms|1,00646
Survey|20180508|1|00387|PrivateDiningAndMeetingRooms|1,00387
Survey|20180508|1|01668|PrivateDiningAndMeetingRooms|1,01668
Survey|20180508|1|00153|GolfServices|1,00153
Survey|20180508|1|02616|GolfServices|1,02616
Survey|20180508|1|02594|GolfServices|1,02594
Survey|20180508|1|01535|GolfServices|1,01535
Survey|20180508|1|02808|GolfServices|1,02808
Survey|20180508|1|02702|GolfServices|1,02702
Survey|20180508|1|00561|GolfServices|1,00561
Survey|20180508|1|00678|GolfServices|1,00678
Survey|20180508|1|02661|GolfServices|1,02661
Survey|20180508|1|02779|GolfServices|1,02779
Survey|20180508|1|03110|GolfServices|1,03110
Survey|20180508|1|01100|GolfServices|1,01100
Survey|20180508|1|02595|GolfServices|1,02595
Survey|20180508|1|02820|GolfServices|1,02820
Survey|20180508|1|02596|GolfServices|1,02596
Survey|20180508|1|01584|Boardroom|1,01584
Survey|20180508|1|00541|GolfServices|1,00541
Survey|20180508|1|02812|Pool|1,02812
Survey|20180508|1|02771|Pool|1,02771
Survey|20180508|1|01100|Pool|1,01100
Survey|20180508|1|00170|Ballroom|1,00170
Survey|20180508|1|00268|Ballroom|1,00268
